iso2c,iso3c,country,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,region,income
AG,ATG,Antigua and Barbuda,2004,17593.87624,74.22614634,81718,18.992,7.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2013,21008.14698,75.77865854,89985,16.447,5.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2009,21671.37575,75.14702439,86300,17.218,6.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1993,12415.41251,71.86585366,64868,19.274,12.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1994,13141.20213,72.093,66550,19.54,12.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2005,19067.0683,74.42543902,82565,18.599,7.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2002,15372.57819,73.81543902,80030,19.724,8.6,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2003,16426.92431,74.02178049,80904,19.374,8.2,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2007,24503.84487,74.80321951,84397,17.849,6.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2012,20956.33642,75.62180488,89069,16.594,5.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1995,12516.60041,72.31768293,68349,19.816,11.7,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2008,24723.11189,74.97917073,85350,17.514,6.6,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2010,20151.30987,75.30878049,87233,16.968,6,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2001,14907.07263,73.60709756,78972,20.022,9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2006,22040.91366,74.61814634,83467,18.214,7.2,Latin America & Caribbean,Upper middle income
AL,ALB,Albania,2004,5652.602673,75.83121951,3026939,13.036,9.8,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2002,4785.880981,75.15460976,3051010,14.642,10.7,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1994,2413.663204,72.04195122,3207536,21.854,12.9,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2009,9342.081246,76.84036585,2927519,11.679,7.9,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2003,5182.490367,75.52329268,3039616,13.806,10.3,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1999,3684.945153,73.79339024,3108778,17.302,11.7,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1995,2809.014908,72.23602439,3187784,20.98,12.7,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2008,8769.094336,76.65207317,2947314,11.561,8.2,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2001,4508.632006,74.73256098,3060173,15.513,11,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2005,6199.912727,76.08160976,3011487,12.383,9.4,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1992,1921.16342,71.90080488,3247039,23.464,13,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1997,2865.50751,72.89809756,3148281,19.15,12.3,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2007,7658.408578,76.47029268,2970017,11.631,8.5,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2013,10412.44172,77.64046341,2896652,13.106,6.8,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2014,11167.02257,77.83046341,2893654,13.414,6.5,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1991,2011.841715,71.91841463,3266790,24.173,13.2,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2011,9640.144593,77.24058537,2904780,12.325,7.2,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2006,7066.725645,76.28612195,2992547,11.906,8.9,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1990,2748.622728,71.95731707,3286542,24.789,13.4,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2000,4045.752069,74.27153659,3089027,16.401,11.3,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1993,2168.886231,71.93585366,3227287,22.686,12.9,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2010,9303.932476,77.03695122,2913021,11.952,7.5,Europe & Central Asia,Upper middle income
AL,ALB,Albania,2012,10361.43322,77.44397561,2900247,12.73,7,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1998,3177.490786,73.32658537,3128530,18.22,11.9,Europe & Central Asia,Upper middle income
AL,ALB,Albania,1996,3140.036986,72.52741463,3168033,20.075,12.5,Europe & Central Asia,Upper middle income
AM,ARM,Armenia,2008,7097.912173,73.945,2975029,14.101,10.6,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1992,1347.491008,67.85334146,3449497,19.546,21.9,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1993,1287.955107,68.06956098,3369673,18.348,21.2,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2003,3510.316808,72.60958537,3036420,13.741,13.7,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2004,3998.143137,72.9737561,3025982,13.949,13,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1997,1840.696008,69.71641463,3137652,14.16,18.3,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2002,3007.219393,72.20160976,3047249,13.511,14.4,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2014,8099.208326,74.67570732,3006154,13.157,7.7,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2007,6483.504649,73.76465854,2988117,14.161,11.1,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2006,5526.092806,73.54826829,3002161,14.164,11.8,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1994,1419.992742,68.37665854,3289943,17.123,20.5,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1995,1581.73379,68.76356098,3223173,15.962,19.8,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2013,7734.780167,74.56136585,2992192,13.308,8.2,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1999,2123.61324,70.76709756,3093820,13.286,16.7,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2000,2313.331946,71.27658537,3076098,13.203,15.9,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2009,6158.301452,74.09582927,2966108,13.986,10,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1990,2414.404926,67.74780488,3544695,21.6,23,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2012,7401.856398,74.45209756,2978339,13.474,8.6,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1996,1731.807416,69.21685366,3173425,14.957,19.1,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2001,2605.771618,71.75582927,3060036,13.306,15.1,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1991,2223.444263,67.73829268,3511912,20.652,22.5,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2010,6376.268217,74.22634146,2963496,13.83,9.5,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2011,6803.482997,74.34282927,2967984,13.652,9.1,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,2005,4716.243273,73.28739024,3014917,14.097,12.4,Europe & Central Asia,Lower middle income
AM,ARM,Armenia,1998,2012.338894,70.24021951,3112958,13.6,17.5,Europe & Central Asia,Lower middle income
AO,AGO,Angola,1992,2836.129244,41.31302439,11848971,52.475,59.4,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1991,3076.256008,41.20634146,11472173,52.585,59.2,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1999,2972.321938,44.439,14601983,51.268,58.7,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2004,3256.653754,48.0035122,17295500,49.895,56.7,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2007,5613.232196,49.43573171,19183907,48.888,55,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2003,2961.964572,47.39317073,16691395,50.182,57.2,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1996,2603.074343,42.50163415,13424813,51.914,59.5,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1997,2778.743543,43.06212195,13801868,51.723,59.4,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2010,6360.84898,50.65417073,21219954,47.529,52.6,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2001,3131.995858,45.97314634,15562791,50.739,58.2,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2002,2858.897069,46.71173171,16109696,50.463,57.5,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2000,3036.559728,45.20478049,15058638,51.009,58.4,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1993,2115.395101,41.47819512,12246786,52.357,59.4,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2005,3838.264572,48.53880488,17912942,49.592,56.1,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1998,2918.451406,43.71426829,14187710,51.508,58.9,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1994,2165.01507,41.7162439,12648483,52.227,59.3,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1995,2366.284056,42.05146341,13042666,52.081,59.4,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2008,6298.01244,49.84739024,19842251,48.473,54.1,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2011,6524.481181,51.05931707,21942296,47.018,51.9,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2009,6284.274905,50.25102439,20520103,48.018,53.4,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2013,7097.840138,51.86617073,23448202,45.985,50.4,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,1990,3106.554625,41.13834146,11127870,52.688,59.1,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2014,7317.834073,52.26687805,24227524,45.483,49.6,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2006,4614.590809,49.00704878,18541467,49.259,55.5,Sub-Saharan Africa,Lower middle income
AO,AGO,Angola,2012,6758.27805,51.464,22685632,46.499,51.1,Sub-Saharan Africa,Lower middle income
AR,ARG,Argentina,2012,,75.8162439,42095224,17.874,7,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1992,,71.98895122,33655149,21.366,14.7,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2010,,75.48497561,41222875,18.153,7.5,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2011,,75.64904878,41655616,18.018,7.2,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2002,,74.15578049,37889443,19.199,10.6,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2000,,73.75580488,37057453,19.413,11.3,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1997,,73.10804878,35833965,19.948,12,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2005,,74.68780488,39145491,18.833,9.2,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2003,,74.34126829,38309475,19.089,10,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2004,,74.51878049,38728778,18.968,9.5,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1990,,71.54365854,32729740,21.804,15.4,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1991,,71.76329268,33193920,21.603,15,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2001,,73.96031707,37471535,19.302,11.1,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1999,,73.54426829,36648054,19.551,11.3,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1996,,72.88734146,35419683,20.21,12.6,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2014,,76.15860976,42980026,17.544,6.5,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2008,,75.16626829,40381860,18.414,8.1,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2006,,74.84990244,39558750,18.691,8.8,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1998,,73.32768293,36241578,19.727,11.5,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2009,,75.32456098,40798641,18.283,7.8,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1994,,72.44139024,34558114,20.804,14,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1995,,72.66512195,34994818,20.501,13.3,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2013,,75.98609756,42538304,17.716,6.8,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,1993,,72.21565854,34110912,21.097,14.4,Latin America & Caribbean,Upper middle income
AR,ARG,Argentina,2007,,75.00904878,39969903,18.55,8.5,Latin America & Caribbean,Upper middle income
AS,ASM,American Samoa,1992,,,49597,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1996,,,53926,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2003,,,59117,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1997,,,54942,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1998,,,55899,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2012,,,55227,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1991,,,48379,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1993,,,50725,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2011,,,55316,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1994,,,51807,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2008,,,57031,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2009,,,56226,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2006,,,58648,21.6,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2001,,,58176,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2002,,,58729,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2007,,,57904,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2000,,,57522,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2004,,,59262,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2005,,,59117,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1990,,,47044,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1995,,,52874,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2010,,,55636,18.7,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2013,,,55302,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,2014,,,55434,,,East Asia & Pacific,Upper middle income
AS,ASM,American Samoa,1999,,,56768,,,East Asia & Pacific,Upper middle income
AT,AUT,Austria,1994,22652.45988,76.4195122,7936118,11.6,3.7,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2001,29856.60364,78.57560976,8042293,9.4,3.1,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1993,21743.63618,76.06829268,7905633,12,4,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2006,37626.14418,79.8804878,8268641,9.4,2.8,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2000,29566.24767,78.12682927,8011566,9.8,3.1,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1999,27752.71775,77.87560976,7992324,9.8,3.1,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2013,47416.28467,81.13658537,8479375,9.4,2.3,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2014,47706.48825,81.33658537,8541575,9.6,2.2,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2005,34691.20896,79.33170732,8227829,9.5,2.8,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2010,41892.77585,80.5804878,8363404,9.4,2.5,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2007,39234.32288,80.1804878,8295487,9.2,2.7,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1992,21301.96297,75.81707317,7840709,12.2,4.2,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1996,24573.18183,76.87073171,7959017,11.2,3.4,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1991,20625.88133,75.61707317,7754891,12.2,4.4,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2011,44022.39527,80.98292683,8391643,9.3,2.4,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1995,23705.54204,76.66829268,7948278,11.2,3.5,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2012,45858.24684,80.93658537,8429991,9.4,2.4,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2003,32202.44556,78.63170732,8121423,9.5,3,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2002,31261.55163,78.67804878,8081957,9.7,3,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1998,26728.58592,77.67073171,7976789,10.2,3.2,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1990,19490.93724,75.56829268,7677850,11.8,4.6,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2009,40620.39216,80.33170732,8343323,9.2,2.6,Europe & Central Asia,High income: OECD
AT,AUT,Austria,1997,25532.15175,77.3195122,7968041,10.5,3.2,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2008,41151.58504,80.43170732,8321496,9.3,2.6,Europe & Central Asia,High income: OECD
AT,AUT,Austria,2004,33800.70211,79.1804878,8171966,9.7,2.9,Europe & Central Asia,High income: OECD
AU,AUS,Australia,2007,36563.46822,81.29268293,20827600,14.1,3.1,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2014,45937.30004,82.25121951,23464086,12.9,2.3,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2008,37479.28912,81.39512195,21249200,14,3,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2012,42596.29412,82.04634146,22728254,13.7,2.5,East Asia & Pacific,High income: OECD
AU,AUS,Australia,1997,22990.70709,78.4804878,18517000,13.6,3.6,East Asia & Pacific,High income: OECD
AU,AUS,Australia,1993,19164.90498,77.87804878,17667000,14.7,4,East Asia & Pacific,High income: OECD
AU,AUS,Australia,1990,17362.37713,76.99463415,17065100,15.4,4.6,East Asia & Pacific,High income: OECD
AU,AUS,Australia,1991,17815.79474,77.27560976,17284000,14.9,4.4,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2013,45476.97659,82.14878049,23117353,13.3,2.4,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2002,28685.30614,79.93658537,19651400,12.8,3.4,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2005,32559.45929,80.84146341,20394800,12.8,3.3,East Asia & Pacific,High income: OECD
AU,AUS,Australia,1994,20088.11737,77.87804878,17855000,14.5,3.9,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2000,26373.96968,79.23414634,19153000,13,3.5,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2009,40257.16862,81.54390244,21691700,13.9,2.9,East Asia & Pacific,High income: OECD
AU,AUS,Australia,1998,24216.73343,78.63170732,18711000,13.3,3.6,East Asia & Pacific,High income: OECD
AU,AUS,Australia,1999,25268.51981,78.93170732,18926000,13.1,3.5,East Asia & Pacific,High income: OECD
AU,AUS,Australia,2003,29693.41851,80.23902439,19895400,12.6,3.4,East Asia & Pacific,High income: OECD
